Episode,Total Reward,Epsilon,Avg Loss
414,169.77,0.293,0.7262
415,48.09,0.293,0.9380
416,116.83,0.335,0.8558
417,712.09,0.050,0.8234
418,400.77,0.157,0.8378
419,82.44,0.420,0.5664
420,2327.34,0.050,0.6949
421,768.29,0.050,0.8058
422,60.65,0.251,0.8516
423,400.83,0.188,0.8100
424,871.17,0.087,0.7406
425,678.21,0.139,0.7586
426,179.17,0.050,0.6629
427,727.72,0.113,0.5518
428,69.02,0.253,0.6106
429,46.94,0.374,0.7488
430,70.97,0.303,0.6265
431,309.40,0.187,0.7341
432,255.76,0.297,0.6567
433,54.29,0.418,0.7144
434,131.58,0.290,0.6761
435,178.18,0.261,0.6446
436,49.62,0.469,0.7628
437,850.27,0.089,0.7778
438,499.45,0.145,0.7577
439,608.55,0.104,0.7607
440,102.83,0.410,0.8355
441,467.00,0.188,0.9340
442,816.45,0.099,0.6831
443,323.98,0.199,0.8609
444,474.08,0.177,0.8388
445,718.46,0.113,0.7299
446,58.42,0.369,0.7042
447,320.18,0.251,0.6389
448,1537.88,0.050,0.6343
449,301.40,0.252,0.5922
450,66.56,0.455,0.6470
451,1175.09,0.050,0.7250
452,147.13,0.305,0.6587
453,265.95,0.319,0.8213
454,58.39,0.420,0.9329
455,61.86,0.344,0.6042
456,542.05,0.172,0.7572
457,225.18,0.324,0.7444
458,193.30,0.258,0.7949
459,623.25,0.138,0.9837
460,779.27,0.073,0.6560
461,68.37,0.390,0.6809
462,1573.02,0.050,0.6499
463,98.24,0.316,0.5576
464,840.86,0.061,0.7516
465,599.86,0.140,0.7486
466,457.80,0.094,0.6730
467,790.26,0.073,0.7065
468,2037.44,0.050,0.5308
469,1371.61,0.050,0.5011
470,596.66,0.050,0.5800
471,666.72,0.063,0.7014
472,718.26,0.118,0.6229
473,188.57,0.325,0.7788
474,41.06,0.398,0.6202
475,166.39,0.314,0.7994
476,1031.05,0.050,0.5987
477,767.23,0.114,0.5524
478,509.67,0.189,0.4848
479,313.69,0.268,0.5281
480,123.08,0.380,0.5282
481,53.58,0.433,0.5626
482,63.33,0.347,0.7056
483,326.61,0.228,0.6938
484,111.51,0.337,0.7007
485,285.49,0.279,0.6044
486,1045.35,0.061,0.6891
487,294.56,0.251,0.6808
488,63.53,0.404,0.7483
489,54.13,0.374,0.6587
490,886.29,0.073,0.7115
491,100.33,0.313,0.7910
492,312.32,0.241,1.0128
493,533.62,0.154,0.6308
494,384.84,0.197,0.7835
495,135.37,0.269,0.6866
496,276.48,0.215,0.8379
497,401.91,0.185,0.8903
498,202.37,0.180,0.6934
499,230.84,0.283,0.7623
500,106.61,0.404,0.8123
501,289.03,0.262,0.8302
502,108.52,0.300,0.6268
503,134.18,0.406,0.4640
504,209.93,0.280,0.5846
505,138.01,0.376,0.6886
506,179.41,0.334,0.7930
507,35.49,0.340,0.6077
508,488.43,0.184,0.8928
509,70.08,0.412,0.7337
510,1496.74,0.050,0.8059
511,188.61,0.249,0.6762
512,58.37,0.464,0.9571
513,16.88,0.474,0.6025
514,362.31,0.205,0.7472
515,75.15,0.448,0.8783
516,352.24,0.188,0.6659
517,1164.34,0.057,0.9281
518,119.40,0.342,0.8348
519,1972.30,0.050,0.9521
520,120.20,0.314,1.1223
521,202.30,0.270,0.9012
522,187.56,0.325,0.8727
523,235.83,0.303,0.7408
524,23.42,0.406,0.7296
525,110.35,0.317,0.7566
526,773.18,0.107,0.7309
527,26.48,0.420,0.5979
528,186.16,0.261,0.8340
529,230.31,0.299,0.9025
530,123.22,0.311,1.2699
531,3506.38,0.050,0.8374
532,62.96,0.427,0.9610
533,481.50,0.196,1.0968
534,13.17,0.519,1.0366
535,420.61,0.217,1.0145
536,637.39,0.142,1.0480
537,227.50,0.288,1.1164
538,282.15,0.220,0.8996
539,55.38,0.334,0.7499
540,487.24,0.165,1.1656
541,368.67,0.200,1.1824
542,315.72,0.253,1.2286
543,691.95,0.133,1.2097
544,291.36,0.269,0.8520
545,89.71,0.453,1.3459
546,58.13,0.361,1.4867
547,258.87,0.291,1.1470
548,449.68,0.091,0.9851
549,517.98,0.160,1.2342
550,272.40,0.293,1.1487
551,431.78,0.196,1.4265
552,189.27,0.287,1.1713
553,856.55,0.070,1.3428
554,885.38,0.052,1.1330
555,696.97,0.120,1.0036
556,824.80,0.087,1.0057
557,1397.82,0.050,1.0149
558,614.29,0.112,0.9321
559,206.77,0.297,1.0725
560,1701.88,0.050,1.0035
561,457.41,0.165,0.9060
562,494.55,0.151,0.9138
563,783.67,0.072,0.9182
564,540.48,0.179,0.8199
565,893.99,0.071,1.0967
566,1142.11,0.050,1.0809
567,965.18,0.053,1.1284
568,61.67,0.412,1.0466
569,71.72,0.437,1.0023
570,2707.86,0.050,0.9112
571,430.61,0.205,0.9429
572,113.39,0.384,1.0138
573,1595.94,0.050,1.0155
574,89.34,0.353,1.0074
575,71.87,0.481,0.7100
576,523.05,0.157,1.1383
577,563.25,0.115,1.0557
578,153.92,0.308,0.9155
579,685.15,0.111,1.0484
580,382.39,0.220,1.1776
581,3.00,0.526,0.8459
582,2308.75,0.050,1.2231
583,206.84,0.283,1.3348
584,114.66,0.316,1.3649
585,194.73,0.227,1.5679
586,387.39,0.194,1.1581
587,231.85,0.280,1.2236
588,554.60,0.144,1.2955
589,355.54,0.174,1.3561
590,24.58,0.496,0.9990
591,726.88,0.115,1.1798
592,111.32,0.308,1.0167
593,218.03,0.330,1.1003
594,72.48,0.402,1.1940
595,83.49,0.361,1.4151
596,235.47,0.233,1.2003
597,272.00,0.242,1.4401
598,2605.39,0.050,1.5102
599,208.94,0.269,1.4261
600,883.70,0.076,1.2715
601,367.19,0.211,1.3456
602,278.00,0.274,1.1871
603,71.32,0.305,1.3560
604,30.23,0.455,1.9191
605,333.95,0.209,1.2633
606,545.22,0.150,1.0351
607,172.82,0.400,1.3295
608,468.70,0.141,1.2640
609,391.61,0.078,1.1987
610,237.30,0.220,1.7539
